metric,n_NDD,n_HK,median_NDD,median_HK,mean_NDD,mean_HK,p_value,r
gene_density,1025,1714,8.0,15.0,13.155,18.944,7.460055003726646e-47,0.328
recomb_cM_Mb,1021,1712,0.729,0.561,1.273,0.964,1.1303111802780413e-07,-0.121
