stratum,range,n_HK,n_NDD,median_HK,median_NDD,p_value,r
Q1,0.00-0.22,457,227,0.5,0.25,1.7540354740921323e-09,-0.273
Q2,0.22-0.62,445,238,0.5,0.25,5.871426795073934e-09,-0.26
Q3,0.62-1.51,447,236,0.5,0.25,2.1768753007553064e-16,-0.371
Q4,1.51-18.86,363,320,0.5,0.0,2.86469605109555e-24,-0.436
