tissue,mean_NDD,mean_HK,ratio_NDD_HK,p_value,r,direction
fetal_brain,0.93,0.739,1.259,9.809938979194406e-19,-0.199,NDD>HK
fetal_liver,0.379,0.5,0.758,6.360121688985869e-30,0.252,NDD<HK
