assembly,species,TE,n_HK,n_NDD,observed_p,empirical_p,null_fpr,n_perm
hg38,Human,Alu,1714,1025,1.2685434286307564e-53,0.0,0.0513,10000
ponAbe3,Orangutan,Alu,1442,910,5.114722685510777e-53,0.0,0.0509,10000
rheMac10,Macaque,Alu,1533,949,1.0847845838509664e-60,0.0,0.0503,10000
calJac4,Marmoset,Alu,1340,908,9.018794106606958e-10,0.0,0.0511,10000
mm10,Mouse,B1B2,1605,960,1.0089729408431821e-70,0.0,0.049,10000
