measure,n_HK,n_NDD,median_HK,median_NDD,r,p
records per kb,1714,1025,0.5,0.25,-0.3446,1.2685434286307564e-53
merged bp coverage,1714,1025,0.1421,0.061,-0.3437,1.7009578232701924e-52
