ring,n_NDD,n_HK,dropped_NDD,dropped_HK,bg_HK,bg_NDD,bg_ratio,r_bg,p_bg,prom_HK,prom_NDD,prom_ratio,r_prom,p_prom,norm_ratio_of_means,norm_median_HK,norm_median_NDD,r_norm,p_norm
10-100 kb,1024,1710,0,0,0.908,0.665,0.732,-0.3406,1.0898036286942963e-50,0.667,0.382,0.573,-0.3466,4.0187735202078925e-54,0.783,0.668,0.341,-0.2528,2.717853373857241e-29
25-250 kb,1019,1702,0,0,0.821,0.625,0.761,-0.3089,7.266536964587387e-42,0.666,0.38,0.571,-0.3489,1.460532975581935e-54,0.75,0.754,0.373,-0.2704,4.449264690695366e-33
